# t_fs photon_number total_excited_population excited_per_molecule total_excitation Z ReP ImP
6.550000000000000711e+00 3.227894076227569853e-01 6.772105923772429037e-01 1.354421184754485696e-01 9.999999999999998890e-01 5.316097958708695392e-01 1.170975510322825736e-01 0.000000000000000000e+00
6.600000000000000533e+00 3.162789414323098347e-01 6.837210585676900543e-01 1.367442117135380109e-01 9.999999999999998890e-01 5.278190708956109756e-01 1.180452322760972145e-01 0.000000000000000000e+00
6.650000000000000355e+00 3.098122304824511564e-01 6.901877695175486771e-01 1.380375539035097465e-01 9.999999999999997780e-01 5.240672496494160892e-01 1.189831875876459499e-01 0.000000000000000000e+00
6.700000000000000178e+00 3.033904919295141167e-01 6.966095080704859388e-01 1.393219016140971878e-01 1.000000000000000000e+00 5.203547627625090266e-01 1.199113093093727156e-01 0.000000000000000000e+00
6.750000000000000000e+00 2.970149290710709655e-01 7.029850709289289235e-01 1.405970141857857958e-01 9.999999999999998890e-01 5.166820248722986397e-01 1.208294937819253123e-01 0.000000000000000000e+00
6.800000000000000711e+00 2.906867310708711183e-01 7.093132689291287152e-01 1.418626537858257430e-01 9.999999999999997780e-01 5.130494349530843046e-01 1.217376412617288961e-01 0.000000000000000000e+00
6.850000000000000533e+00 2.844070729588420998e-01 7.155929270411578447e-01 1.431185854082315800e-01 1.000000000000000000e+00 5.094573763160562541e-01 1.226356559209858949e-01 0.000000000000000000e+00
6.900000000000000355e+00 2.781771156151236490e-01 7.218228843848764065e-01 1.443645768769752924e-01 1.000000000000000000e+00 5.059062167932736331e-01 1.235234458016815778e-01 0.000000000000000000e+00
6.950000000000000178e+00 2.719980059317443910e-01 7.280019940682556090e-01 1.456003988136511107e-01 1.000000000000000000e+00 5.023963094473400393e-01 1.244009226381649624e-01 0.000000000000000000e+00
7.000000000000000000e+00 2.658708766332379958e-01 7.341291233667621707e-01 1.468258246733524230e-01 1.000000000000000222e+00 4.989279925496575840e-01 1.252680018625856040e-01 0.000000000000000000e+00
7.050000000000000711e+00 2.597968458506126899e-01 7.402031541493871991e-01 1.480406308298774509e-01 9.999999999999998890e-01 4.955015901441263138e-01 1.261246024639683938e-01 0.000000000000000000e+00
7.100000000000000533e+00 2.537770171061409230e-01 7.462229828938591325e-01 1.492445965787718154e-01 1.000000000000000000e+00 4.921174120860128953e-01 1.269706469784967484e-01 0.000000000000000000e+00
7.150000000000000355e+00 2.478124793097473411e-01 7.521875206902526312e-01 1.504375041380505151e-01 1.000000000000000000e+00 4.887757540845754645e-01 1.278060614788561200e-01 0.000000000000000000e+00
